date,year,event_name,event_type,location,role,paper_title,paper_authors,notes
2026-01,2026,AEA Poster Session,Conference,USA,Presenter,,,
2026,2026,CEIBS,Seminar,Shanghai China,Presenter,,,Scheduled
2026,2026,SAIF,Seminar,Shanghai China,Presenter,,,Scheduled
2026,2026,SUFE,Seminar,Shanghai China,Presenter,,,Scheduled
2025-06,2025,GIERC Taiwan,Conference,Taiwan,Discussant,Why do Private Equity Firms Co-invest With Their Limited Partners?,Alex Tuft,
2025-06,2025,INSEAD Finance Symposium,Conference,Singapore,Discussant,"Underwater: Strategic Trading and Risk Management in Bank Securities Portfolios","Andreas Fuster, Teodora Paligorova, James Vickery",
2025-06,2025,14th MoFiR,Conference,,Discussant,Search and Negotiation with Biased Beliefs in Consumer Credit Markets,"Eric Berwart, Sean Higgins, Sheisha Kulkarni, Santiago Truffa",
2025-05,2025,CityUHK 4th Conference in Fintech AI BigData,Conference,Hong Kong,Discussant,AI in Corporate Governance: Can Machines Recover Corporate Purpose?,"Boris Nikolov, Norman Schurhoff, Sam Wagner",
2025-01,2025,AEA Poster Session,Conference,USA,Presenter,,,
2025,2025,Hawaii Accounting Research Conference,Conference,Hawaii USA,Presenter,,,
2025,2025,FEB Unmer Malang,Seminar,Malang Indonesia,Presenter,,,
2025,2025,FEB UB Malang,Seminar,Malang Indonesia,Presenter,,,
2025,2025,CAFRAL-ISB Conference,Conference,India,Presenter,,,
2025,2025,CUHK-Shenzhen,Seminar,Shenzhen China,Presenter,,,
2025,2025,Peking U-HSBC,Seminar,Shenzhen China,Presenter,,,
2025,2025,AFAANZ,Conference,Australia,Presenter,,,
2025,2025,AFS Valencia,Conference,Valencia Spain,Presenter,,,
2025,2025,INFORMS,Conference,,Presenter,,,
2025,2025,INFORMS International,Conference,,Presenter,,,
2025,2025,Waseda,Seminar,Tokyo Japan,Presenter,,,
2025,2025,CityUHK Accounting,Seminar,Hong Kong,Presenter,,,
2025,2025,CityUHK Finance & Analytics/Operations,Seminar,Hong Kong,Presenter,,,
2025,2025,ABFC Sydney,Conference,Sydney Australia,Presenter,,,
2025,2025,University of Washington,Seminar,Seattle USA,Presenter,,,Scheduled
2024,2024,INSEAD,Seminar,Singapore,Presenter,,,
2024,2024,CUHK,Seminar,Hong Kong,Presenter,,,
2024,2024,HK Baptist,Seminar,Hong Kong,Presenter,,,
2024,2024,SUSTech,Seminar,Shenzhen China,Presenter,,,
2024,2024,Asia Pacific Online Corporate Finance Workshop,Workshop,Virtual,Presenter,,,
2024,2024,ESSEC,Seminar,Singapore,Presenter,,,
2024,2024,Goethe University Institute of Law and Finance (LawFin),Seminar,Frankfurt Germany,Presenter,,,
